region;comuna;electores_hombre_2024;electores_mujer_2024;pop_electores_2024;Edad 18-19;Edad 20-29;Edad 30-39;Edad 40-49;Edad 50-59;Edad 60-69;Edad 70-79;Edad 80-89;90 o más
DE ARICA Y PARINACOTA;ARICA;91998;93160;185158;6.267;31.849;36.194;32.729;31.278;23.814;15.143;6.584;1.300
DE ARICA Y PARINACOTA;CAMARONES;1366;1380;2746;59;367;567;511;527;372;236;86;21
DE ARICA Y PARINACOTA;GENERAL LAGOS;891;635;1526;19;152;280;341;323;184;152;63;12
DE ARICA Y PARINACOTA;PUTRE;2840;1991;4831;98;647;914;1.084;964;560;368;162;34
DE TARAPACA;ALTO HOSPICIO;33777;34960;68737;3.634;16.430;15.825;12.025;10.209;6.957;2.815;728;114
DE TARAPACA;CAMIÑA;1440;1539;2979;95;533;566;572;559;345;199;99;11
DE TARAPACA;COLCHANE;1445;1299;2744;95;588;619;560;428;224;146;68;16
DE TARAPACA;HUARA;2208;1932;4140;93;488;640;750;687;627;429;371;55
DE TARAPACA;IQUIQUE;83721;81578;165299;4.886;25.436;35.961;32.965;26.327;21.843;12.314;4.618;949
DE TARAPACA;PICA;3133;3158;6291;199;1.012;1.259;1.114;947;878;579;257;46
DE TARAPACA;POZO ALMONTE;6687;5790;12477;471;2.309;2.554;2.418;1.857;1.533;918;356;61
DE ANTOFAGASTA;ANTOFAGASTA;150683;152338;303021;9.832;55.294;69.388;56.771;48.418;35.850;18.585;7.439;1.444
DE ANTOFAGASTA;CALAMA;67034;65500;132534;4.660;22.553;30.258;25.931;21.871;16.042;7.858;2.871;490
DE ANTOFAGASTA;MARIA ELENA;2745;2369;5114;102;727;866;755;1.093;852;526;173;20
DE ANTOFAGASTA;MEJILLONES;5486;5154;10640;339;1.930;2.548;1.906;1.656;1.418;617;200;26
DE ANTOFAGASTA;OLLAGUE;759;661;1420;33;229;267;322;300;153;73;41;2
DE ANTOFAGASTA;SAN PEDRO DE ATACAMA;4006;4204;8210;241;1.202;2.135;1.811;1.284;838;418;240;41
DE ANTOFAGASTA;SIERRA GORDA;1016;974;1990;77;339;438;433;355;238;81;25;4
DE ANTOFAGASTA;TALTAL;5269;5035;10304;410;1.777;1.937;1.705;1.774;1.478;822;323;78
DE ANTOFAGASTA;TOCOPILLA;10782;10703;21485;730;3.563;4.194;3.460;3.563;3.325;1.822;712;116
DE ATACAMA;ALTO DEL CARMEN;2606;2352;4958;142;643;805;813;918;763;508;290;76
DE ATACAMA;CALDERA;8225;8035;16260;561;2.642;3.224;2.725;2.604;2.593;1.328;484;99
DE ATACAMA;CHAÑARAL;5806;5636;11442;399;1.945;2.185;1.815;1.917;1.650;985;464;82
DE ATACAMA;COPIAPO;63872;63875;127747;4.542;22.612;27.542;22.463;20.753;16.777;8.597;3.714;747
DE ATACAMA;DIEGO DE ALMAGRO;5978;5590;11568;415;1.866;2.030;2.202;2.220;1.603;812;364;56
DE ATACAMA;FREIRINA;3176;3148;6324;224;990;1.221;982;1.102;952;543;253;57
DE ATACAMA;HUASCO;4388;4335;8723;292;1.355;1.693;1.430;1.380;1.385;784;340;64
DE ATACAMA;TIERRA AMARILLA;6563;5992;12555;412;2.214;2.622;2.143;2.322;1.671;806;317;48
DE ATACAMA;VALLENAR;22794;23346;46140;1.572;7.686;8.984;7.192;7.887;6.669;3.803;1.970;377
DE COQUIMBO;ANDACOLLO;5759;5549;11308;345;1.741;1.944;1.681;2.193;1.765;1.021;529;89
DE COQUIMBO;CANELA;4774;4684;9458;237;1.272;1.461;1.377;1.725;1.571;1.054;585;176
DE COQUIMBO;COMBARBALA;6189;6157;12346;352;1.633;1.812;1.945;2.319;1.952;1.370;792;171
DE COQUIMBO;COQUIMBO;91780;97518;189298;6.306;33.959;38.395;32.732;30.286;25.273;14.884;6.165;1.298
DE COQUIMBO;ILLAPEL;13861;14366;28227;891;4.465;5.167;4.411;4.929;4.157;2.662;1.290;255
DE COQUIMBO;LA HIGUERA;2613;2422;5035;187;750;800;893;921;777;475;198;34
DE COQUIMBO;LA SERENA;94753;103031;197784;6.496;35.194;39.556;33.859;31.964;26.531;15.802;6.892;1.490
DE COQUIMBO;LOS VILOS;9770;9876;19646;611;3.054;3.706;3.216;3.175;3.076;1.776;872;160
DE COQUIMBO;MONTE PATRIA;14296;13727;28023;817;4.462;5.028;4.572;5.172;3.987;2.384;1.307;294
DE COQUIMBO;OVALLE;46420;49185;95605;3.206;16.228;19.017;15.623;15.717;13.191;7.750;3.866;1.007
DE COQUIMBO;PAIGUANO;2677;2617;5294;150;703;1.012;822;1.003;853;468;228;55
DE COQUIMBO;PUNITAQUI;5645;5556;11201;351;1.653;1.950;1.801;2.002;1.615;1.137;567;125
DE COQUIMBO;RIO HURTADO;2443;2346;4789;115;570;783;752;892;770;548;302;57
DE COQUIMBO;SALAMANCA;12309;12168;24477;716;3.944;4.541;4.023;4.306;3.421;2.204;1.081;241
DE COQUIMBO;VICUÑA;12335;12554;24889;795;4.134;4.630;4.008;4.348;3.676;2.061;1.022;215
DE VALPARAISO;ALGARROBO;8433;9095;17528;404;2.095;2.700;2.908;2.770;3.124;2.387;978;162
DE VALPARAISO;CABILDO;9032;8979;18011;596;3.063;3.354;2.989;3.001;2.645;1.537;692;134
DE VALPARAISO;CALERA;21976;23001;44977;1.386;7.447;8.432;7.341;7.260;6.749;4.106;1.891;365
DE VALPARAISO;CALLE LARGA;6117;6235;12352;427;2.001;2.314;2.167;2.134;1.758;990;470;91
DE VALPARAISO;CARTAGENA;10601;11289;21890;647;3.276;3.746;3.307;3.497;3.635;2.520;1.075;187
DE VALPARAISO;CASABLANCA;12155;12575;24730;744;3.957;4.691;4.209;4.222;3.640;2.110;959;198
DE VALPARAISO;CATEMU;6203;6208;12411;421;1.966;2.220;2.087;2.162;1.790;1.119;554;92
DE VALPARAISO;CONCON;22261;24266;46527;1.251;7.843;9.150;7.904;7.405;6.929;3.991;1.676;378
DE VALPARAISO;EL QUISCO;8437;9134;17571;450;2.131;2.918;2.638;2.731;3.092;2.381;1.041;189
