codigo_region;codigo_comuna;region;comuna;pop_hombre_2024;pop_mujer_2024;Grupo_edad;pop_censo_2024
15;15101;Arica y Parinacota;Arica;6.321;6.350;0 a 4;12.671
15;15101;Arica y Parinacota;Arica;8264;7982;5 a 9;16246
15;15101;Arica y Parinacota;Arica;9543;9091;10 a 14;18.634
15;15101;Arica y Parinacota;Arica;8705;8357;15 a 19;17062
15;15101;Arica y Parinacota;Arica;9.194;8.678;20 a 24;17.872
15;15101;Arica y Parinacota;Arica;9.839;9.363;25 a 29;19.202
15;15101;Arica y Parinacota;Arica;9.999;9.569;30 a 34;19.568
15;15101;Arica y Parinacota;Arica;9526;9258;35 a 39;18.784
15;15101;Arica y Parinacota;Arica;8029;8519;40 a 44;16548
15;15101;Arica y Parinacota;Arica;7.152;7.523;45 a 49;14.675
15;15101;Arica y Parinacota;Arica;7.218;7.905;50 a 54;15.123
15;15101;Arica y Parinacota;Arica;5.844;6.745;55 a 59;12.589
15;15101;Arica y Parinacota;Arica;5.461;6.582;60 a 64;12.043
15;15101;Arica y Parinacota;Arica;4858;5209;65 a 69;10.067
15;15101;Arica y Parinacota;Arica;3.599;4.251;70 a 74;7.850
15;15101;Arica y Parinacota;Arica;2.642;3.248;75 a 79;5.890
15;15101;Arica y Parinacota;Arica;1596;2189;80 a 84;3785
15;15101;Arica y Parinacota;Arica;1.054;1.990;85 o más;3.044
15;15102;Arica y Parinacota;Camarones;17;9;0 a 4;26
15;15102;Arica y Parinacota;Camarones;14;23;5 a 9;37
15;15102;Arica y Parinacota;Camarones;23;20;10 a 14;43
15;15102;Arica y Parinacota;Camarones;22;24;15 a 19;46
15;15102;Arica y Parinacota;Camarones;17;18;20 a 24;35
15;15102;Arica y Parinacota;Camarones;22;11;25 a 29;33
15;15102;Arica y Parinacota;Camarones;20;23;30 a 34;43
15;15102;Arica y Parinacota;Camarones;23;23;35 a 39;46
15;15102;Arica y Parinacota;Camarones;24;26;40 a 44;50
15;15102;Arica y Parinacota;Camarones;33;24;45 a 49;57
15;15102;Arica y Parinacota;Camarones;36;36;50 a 54;72
15;15102;Arica y Parinacota;Camarones;27;34;55 a 59;61
15;15102;Arica y Parinacota;Camarones;41;43;60 a 64;84
15;15102;Arica y Parinacota;Camarones;32;37;65 a 69;69
15;15102;Arica y Parinacota;Camarones;28;29;70 a 74;57
15;15102;Arica y Parinacota;Camarones;32;34;75 a 79;66
15;15102;Arica y Parinacota;Camarones;12;7;80 a 84;19
15;15102;Arica y Parinacota;Camarones;7;10;85 o más;17
15;15201;Arica y Parinacota;Putre;42;36;0 a 4;78
15;15201;Arica y Parinacota;Putre;44;40;5 a 9;84
15;15201;Arica y Parinacota;Putre;48;40;10 a 14;88
15;15201;Arica y Parinacota;Putre;106;60;15 a 19;166
