codigo_region;codigo_comuna;region;comuna;Sexo (1=Hombre 2=Mujer);Grupo_edad;pop_estimacion_2024
1;1101;Tarapacá;Iquique;1;0 Año;1532
1;1101;Tarapacá;Iquique;1;De 1 a 4 años;6088
1;1101;Tarapacá;Iquique;1;De 5 a 9 años;7172
1;1101;Tarapacá;Iquique;1;De 10 a 14 años;7625
1;1101;Tarapacá;Iquique;1;De 15 a 19 años;7139
1;1101;Tarapacá;Iquique;1;De 20 a 24 años;7351
1;1101;Tarapacá;Iquique;1;De 25 a 29 años;9772
1;1101;Tarapacá;Iquique;1;De 30 a 34 años;11378
1;1101;Tarapacá;Iquique;1;De 35 a 39 años;10369
1;1101;Tarapacá;Iquique;1;De 40 a 44 años;8778
1;1101;Tarapacá;Iquique;1;De 45 a 49 años;7484
1;1101;Tarapacá;Iquique;1;De 50 a 54 años;6358
1;1101;Tarapacá;Iquique;1;De 55 a 59 años;5688
1;1101;Tarapacá;Iquique;1;De 60 a 64 años;5521
1;1101;Tarapacá;Iquique;1;De 65 a 69 años;4555
1;1101;Tarapacá;Iquique;1;De 70 a 74 años;3534
1;1101;Tarapacá;Iquique;1;De 75 a 79 años;2069
1;1101;Tarapacá;Iquique;1;80 años y más;2144
1;1101;Tarapacá;Iquique;1;0 Año;2
1;1101;Tarapacá;Iquique;1;De 1 a 4 años;42
1;1101;Tarapacá;Iquique;1;De 5 a 9 años;36
1;1101;Tarapacá;Iquique;1;De 10 a 14 años;37
1;1101;Tarapacá;Iquique;1;De 15 a 19 años;67
1;1101;Tarapacá;Iquique;1;De 20 a 24 años;174
1;1101;Tarapacá;Iquique;1;De 25 a 29 años;294
1;1101;Tarapacá;Iquique;1;De 30 a 34 años;389
1;1101;Tarapacá;Iquique;1;De 35 a 39 años;398
1;1101;Tarapacá;Iquique;1;De 40 a 44 años;342
1;1101;Tarapacá;Iquique;1;De 45 a 49 años;268
1;1101;Tarapacá;Iquique;1;De 50 a 54 años;222
1;1101;Tarapacá;Iquique;1;De 55 a 59 años;139
1;1101;Tarapacá;Iquique;1;De 60 a 64 años;82
1;1101;Tarapacá;Iquique;1;De 65 a 69 años;41
1;1101;Tarapacá;Iquique;1;De 70 a 74 años;17
1;1101;Tarapacá;Iquique;1;De 75 a 79 años;13
1;1101;Tarapacá;Iquique;1;80 años y más;1
1;1101;Tarapacá;Iquique;2;0 Año;1437
1;1101;Tarapacá;Iquique;2;De 1 a 4 años;5655
1;1101;Tarapacá;Iquique;2;De 5 a 9 años;6837
1;1101;Tarapacá;Iquique;2;De 10 a 14 años;7264
1;1101;Tarapacá;Iquique;2;De 15 a 19 años;6764
1;1101;Tarapacá;Iquique;2;De 20 a 24 años;7159
1;1101;Tarapacá;Iquique;2;De 25 a 29 años;9593
1;1101;Tarapacá;Iquique;2;De 30 a 34 años;10891
1;1101;Tarapacá;Iquique;2;De 35 a 39 años;9904
1;1101;Tarapacá;Iquique;2;De 40 a 44 años;8582
1;1101;Tarapacá;Iquique;2;De 45 a 49 años;7214
1;1101;Tarapacá;Iquique;2;De 50 a 54 años;6588
1;1101;Tarapacá;Iquique;2;De 55 a 59 años;6067
1;1101;Tarapacá;Iquique;2;De 60 a 64 años;5875
1;1101;Tarapacá;Iquique;2;De 65 a 69 años;4993
1;1101;Tarapacá;Iquique;2;De 70 a 74 años;3941
1;1101;Tarapacá;Iquique;2;De 75 a 79 años;2579
1;1101;Tarapacá;Iquique;2;80 años y más;3355
1;1101;Tarapacá;Iquique;2;0 Año;2
1;1101;Tarapacá;Iquique;2;De 1 a 4 años;70
1;1101;Tarapacá;Iquique;2;De 5 a 9 años;81
1;1101;Tarapacá;Iquique;2;De 10 a 14 años;74
1;1101;Tarapacá;Iquique;2;De 15 a 19 años;91
1;1101;Tarapacá;Iquique;2;De 20 a 24 años;76
1;1101;Tarapacá;Iquique;2;De 25 a 29 años;112
1;1101;Tarapacá;Iquique;2;De 30 a 34 años;142
1;1101;Tarapacá;Iquique;2;De 35 a 39 años;100
1;1101;Tarapacá;Iquique;2;De 40 a 44 años;96
1;1101;Tarapacá;Iquique;2;De 45 a 49 años;109
1;1101;Tarapacá;Iquique;2;De 50 a 54 años;107
1;1101;Tarapacá;Iquique;2;De 55 a 59 años;93
1;1101;Tarapacá;Iquique;2;De 60 a 64 años;74
1;1101;Tarapacá;Iquique;2;De 65 a 69 años;79
1;1101;Tarapacá;Iquique;2;De 70 a 74 años;47
1;1101;Tarapacá;Iquique;2;De 75 a 79 años;43
1;1101;Tarapacá;Iquique;2;80 años y más;13
1;1107;Tarapacá;Alto Hospicio;1;0 Año;1312
1;1107;Tarapacá;Alto Hospicio;1;De 1 a 4 años;5241
1;1107;Tarapacá;Alto Hospicio;1;De 5 a 9 años;6284
1;1107;Tarapacá;Alto Hospicio;1;De 10 a 14 años;6743
1;1107;Tarapacá;Alto Hospicio;1;De 15 a 19 años;6033
1;1107;Tarapacá;Alto Hospicio;1;De 20 a 24 años;5197
1;1107;Tarapacá;Alto Hospicio;1;De 25 a 29 años;5784
1;1107;Tarapacá;Alto Hospicio;1;De 30 a 34 años;6319
