house;candidate;house_bias_logit
Activa;Eduardo Artés;-0,142812002
Activa;Evelyn Matthei;-0,051704768
Activa;Franco Parisi;0,239647393
Activa;Harold Mayne-Nicholls;0,135714145
Activa;Jeannette Jara;-0,040845125
Activa;Johannes Kaiser;-0,114977849
Activa;José Antonio Kast;-0,00643919
Activa;Marcos Enríquez-Ominami;0,333422163
Atlas;Eduardo Artés;-0,639899948
Atlas;Evelyn Matthei;-0,018993062
Atlas;Franco Parisi;0,126972017
Atlas;Harold Mayne-Nicholls;-0,095965791
Atlas;Jeannette Jara;0,030377643
Atlas;Johannes Kaiser;0,009403093
Atlas;José Antonio Kast;-0,066066085
Atlas;Marcos Enríquez-Ominami;-0,049880524
Cadem;Eduardo Artés;0,053978166
Cadem;Evelyn Matthei;-0,012136973
Cadem;Franco Parisi;0,103379069
Cadem;Harold Mayne-Nicholls;0,219068311
Cadem;Jeannette Jara;-0,048108716
Cadem;Johannes Kaiser;-0,072851587
Cadem;José Antonio Kast;0,052318644
Cadem;Marcos Enríquez-Ominami;-0,045048867
Criteria;Eduardo Artés;0,024278283
Criteria;Evelyn Matthei;-0,003287622
Criteria;Franco Parisi;-0,006403797
Criteria;Harold Mayne-Nicholls;0,124963711
Criteria;Jeannette Jara;-0,036209869
Criteria;Johannes Kaiser;-0,014686379
Criteria;José Antonio Kast;0,056625955
Criteria;Marcos Enríquez-Ominami;0,151319023
Datarev;Eduardo Artés;0,316716431
Datarev;Evelyn Matthei;-0,042021586
Datarev;Franco Parisi;-0,102506267
Datarev;Harold Mayne-Nicholls;-0,280571925
Datarev;Jeannette Jara;0,068954967
Datarev;Johannes Kaiser;0,082463007
Datarev;José Antonio Kast;-0,040078916
Datarev;Marcos Enríquez-Ominami;0,039369025
LCN;Eduardo Artés;-0,185810091
LCN;Evelyn Matthei;0,091747504
LCN;Franco Parisi;-0,45142325
LCN;Harold Mayne-Nicholls;0,17040765
LCN;Jeannette Jara;0,059790108
LCN;Johannes Kaiser;0,113135715
LCN;José Antonio Kast;-0,040742678
LCN;Marcos Enríquez-Ominami;-0,33365326
UDD;Eduardo Artés;0,066911206
UDD;Evelyn Matthei;0,04435827
UDD;Franco Parisi;0,088212061
UDD;Harold Mayne-Nicholls;0,038009235
UDD;Jeannette Jara;-0,07677164
UDD;Johannes Kaiser;-0,060200365
UDD;José Antonio Kast;0,084194123
UDD;Marcos Enríquez-Ominami;-0,048828232
