datetime_CLT;market_name;contract;candidate;price_yes;implied_prob;volume_24h;volume_total;open_interest;notes
14-11-2025 21:35;Polymarket – Chile 2025 – 1st round winner;First round winner –  Jara;Jeannette Jara;92;92;;462532;;
14-11-2025 21:35;Polymarket – Chile 2025 – 1st round winner;First round winner –  Kast;José Antonio Kast;7,75;7,75;;224982;;
14-11-2025 21:35;Polymarket – Chile 2025 – 1st round winner;First round winner –  Kaiser;Johannes Kaiser;0,8;0,8;;242402;;
14-11-2025 21:35;Polymarket – Chile 2025 – 1st round winner;First round winner –  Matthei;Evelyn Matthei;0,45;0,45;;167472;;
14-11-2025 21:35;Polymarket – Chile 2025 – 1st round winner;First round winner –  Parisi;Franco Parisi;0,2;0,2;;160345;;
14-11-2025 21:35;Polymarket – Chile 2025 – 1st round winner;First round winner –  Artés;Eduardo Artés;0,05;0,05;;78232;;
14-11-2025 21:35;Polymarket – Chile 2025 – 1st round winner;First round winner –  Enríquez-Ominami;Marco Enríquez Ominami;0,05;0,05;;125512;;
14-11-2025 21:35;Polymarket – Chile 2025 – 1st round 2nd Place;First round 2nd place –  Kast;José Antonio Kast;78,5;78,5;;24675;;
14-11-2025 21:35;Polymarket – Chile 2025 – 1st round 2nd Place;First round 2nd place –  Kaiser;Johannes Kaiser;14;14;;80972;;
14-11-2025 21:35;Polymarket – Chile 2025 – 1st round 2nd Place;First round 2nd place –  Jara;Jeannette Jara;5,3;5,3;;23232;;
14-11-2025 21:35;Polymarket – Chile 2025 – 1st round 2nd Place;First round 2nd place –  Matthei;Evelyn Matthei;2,05;2,05;;23144;;
14-11-2025 21:35;Polymarket – Chile 2025 – 1st round 2nd Place;First round 2nd place –  Parisi;Franco Parisi;0,95;0,95;;42632;;
14-11-2025 21:35;Polymarket – Chile 2025 – 1st round 2nd Place;First round 2nd place –  Enríquez-Ominami;Marco Enríquez Ominami;0,15;0,15;;24716;;
14-11-2025 21:35;Polymarket – Chile 2025 – 1st round 2nd Place;First round 2nd place –  Artés;Eduardo Artés;0,1;0,1;;9443;;
14-11-2025 21:35;Polymarket – Chile 2025 – Chile Presidential Election;Chile Presidential Election Winner –  Kast;José Antonio Kast;69,5;69,5;;2060362;;
14-11-2025 21:35;Polymarket – Chile 2025 – Chile Presidential Election;Chile Presidential Election Winner –  Jara;Jeannette Jara;14,75;14,75;;1698246;;
14-11-2025 21:35;Polymarket – Chile 2025 – Chile Presidential Election;Chile Presidential Election Winner –  Kaiser;Johannes Kaiser;13,45;13,45;;1757020;;
14-11-2025 21:35;Polymarket – Chile 2025 – Chile Presidential Election;Chile Presidential Election Winner –  Parisi;Franco Parisi;0,8;0,8;;1989372;;
14-11-2025 21:35;Polymarket – Chile 2025 – Chile Presidential Election;Chile Presidential Election Winner –  Artés;Eduardo Artés;0,15;0,15;;2959962;;
14-11-2025 21:35;Polymarket – Chile 2025 – Chile Presidential Election;Chile Presidential Election Winner –  Enríquez-Ominami;Marco Enríquez Ominami;0,1;0,1;;11077434;;
14-11-2025 21:35;Polymarket – Chile 2025 – Chile Presidential Election;Chile Presidential Election Winner –  Mayne-Nicholls;Harold Mayne-Nicholls;0,25;0,25;;3509231;;
14-11-2025 21:35;Polymarket – Chile 2025 – Chile Presidential Election;Chile Presidential Election Winner –  Matthei;Evelyn Matthei;2,1;2,1;;1734490;;
14-11-2025 21:35;Kalshi – Chile 2025 – Chile Presidential Election;Who will win the Chilean presidential election? - Kast;José Antonio Kast;71,5;71,5;;;;
14-11-2025 21:35;Kalshi – Chile 2025 – Chile Presidential Election;Who will win the Chilean presidential election? - Kaiser;Johannes Kaiser;13,5;13,5;;;;
14-11-2025 21:35;Kalshi – Chile 2025 – Chile Presidential Election;Who will win the Chilean presidential election? - Jara;Jeannette Jara;12,5;12,5;;;;
14-11-2025 21:35;Kalshi – Chile 2025 – Chile Presidential Election;Who will win the Chilean presidential election? - Matthei;Evelyn Matthei;2,5;2,5;;;;
14-11-2025 21:35;Kalshi – Chile 2025 – Chile Presidential Election;Who will win the Chilean presidential election? - Parisi;Franco Parisi;2,5;2,5;;;;
14-11-2025 21:35;Kalshi – Chile 2025 – Chile Presidential Election;Who will win the Chilean presidential election? - Artés;Eduardo Artés;0,5;0,5;;;;
14-11-2025 21:35;Kalshi – Chile 2025 – Chile Presidential Election;Who will win the Chilean presidential election? - Enríquez- Ominami;Marco Enríquez Ominami;0,5;0,5;;;;
14-11-2025 21:35;Kalshi – Chile 2025 – Chile Presidential Election;Who will win the Chilean presidential election? - Mayne-Nicholls;Harold Mayne-Nicholls;0,5;0,5;;;;
