Codigo_region;Circunscripción_senatorial;Distrito;region;comuna;votos_validos_opcion;opcion;votos_opcion
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;ALTO HOSPICIO;24231;A FAVOR;24.231
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;ALTO HOSPICIO;28564;EN CONTRA;28.564
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;ALTO HOSPICIO;0;VOTOS EN BLANCO;664
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;ALTO HOSPICIO;0;VOTOS NULOS;2.594
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;CAMIÑA;890;A FAVOR;890
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;CAMIÑA;417;EN CONTRA;417
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;CAMIÑA;0;VOTOS EN BLANCO;10
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;CAMIÑA;0;VOTOS NULOS;37
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;COLCHANE;792;A FAVOR;792
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;COLCHANE;166;EN CONTRA;166
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;COLCHANE;0;VOTOS EN BLANCO;1
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;COLCHANE;0;VOTOS NULOS;7
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;HUARA;1366;A FAVOR;1.366
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;HUARA;1060;EN CONTRA;1.060
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;HUARA;0;VOTOS EN BLANCO;20
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;HUARA;0;VOTOS NULOS;117
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;IQUIQUE;56856;A FAVOR;56.856
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;IQUIQUE;66216;EN CONTRA;66.216
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;IQUIQUE;0;VOTOS EN BLANCO;1.578
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;IQUIQUE;0;VOTOS NULOS;4.648
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;PICA;2127;A FAVOR;2.127
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;PICA;2220;EN CONTRA;2.220
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;PICA;0;VOTOS EN BLANCO;66
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;PICA;0;VOTOS NULOS;140
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;POZO ALMONTE;4104;A FAVOR;4.104
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;POZO ALMONTE;4712;EN CONTRA;4.712
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;POZO ALMONTE;0;VOTOS EN BLANCO;137
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;POZO ALMONTE;0;VOTOS NULOS;353
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;ANTOFAGASTA;93648;A FAVOR;93.648
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;ANTOFAGASTA;138986;EN CONTRA;138.986
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;ANTOFAGASTA;0;VOTOS EN BLANCO;3.175
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;ANTOFAGASTA;0;VOTOS NULOS;9.972
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;CALAMA;44658;A FAVOR;44.658
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;CALAMA;54405;EN CONTRA;54.405
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;CALAMA;0;VOTOS EN BLANCO;1.165
