Codigo_region;Circunscripción_senatorial;Distrito;region;comuna;votos_validos_candidato;candidato;votos_candidato
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;ALTO HOSPICIO;3183;GABRIEL BORIC FONT;3183
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;ALTO HOSPICIO;5860;JOSE ANTONIO KAST RIST;5860
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;ALTO HOSPICIO;2212;YASNA PROVOSTE CAMPILLAY;2212
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;ALTO HOSPICIO;1212;SEBASTIAN SICHEL RAMIREZ;1212
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;ALTO HOSPICIO;263;EDUARDO ARTES BRICHETTI;263
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;ALTO HOSPICIO;1712;MARCO ENRIQUEZ-OMINAMI GUMUCIO;1712
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;ALTO HOSPICIO;9884;FRANCO ALDO PARISI FERNANDEZ;9884
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;ALTO HOSPICIO;0;VOTOS EN BLANCO;70
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;ALTO HOSPICIO;0;VOTOS NULOS;173
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;CAMIÑA;60;GABRIEL BORIC FONT;60
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;CAMIÑA;384;JOSE ANTONIO KAST RIST;384
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;CAMIÑA;47;YASNA PROVOSTE CAMPILLAY;47
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;CAMIÑA;31;SEBASTIAN SICHEL RAMIREZ;31
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;CAMIÑA;3;EDUARDO ARTES BRICHETTI;3
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;CAMIÑA;16;MARCO ENRIQUEZ-OMINAMI GUMUCIO;16
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;CAMIÑA;328;FRANCO ALDO PARISI FERNANDEZ;328
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;CAMIÑA;0;VOTOS EN BLANCO;7
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;CAMIÑA;0;VOTOS NULOS;7
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;COLCHANE;17;GABRIEL BORIC FONT;17
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;COLCHANE;419;JOSE ANTONIO KAST RIST;419
